 -5.50   150.942  SULU_RANGE			New_Britain-SW_Pac   Stratovolcanoes     Fumarolic
 -5.33   151.10   HARGY                         New_Britain-SW_Pac   Stratovolcano       Radiocarbon
 -5.20   151.23   BAMUS                         New_Britain-SW_Pac   Stratovolcano       Anthropology
 -5.05   151.33   ULAWUN                        New_Britain-SW_Pac   Stratovolcano       Historical
 -4.92   151.158  LOLOBAU                       New_Britain-SW_Pac   Caldera             Historical
 -4.75   150.85   UNNAMED                       New_Britain-SW_Pac   Submarine_volcano_? Uncertain
 -4.271  152.203  RABAUL                        New_Britain-SW_Pac   Pyroclastic_shield  Historical
 -4.12   152.20   TAVUI                         New_Britain-SW_Pac   Caldera             Radiocarbon
 -5.90   143.15   DOMA_PEAKS                    New_Guinea           Stratovolcano       Holocene?
 -6.58   145.08   CRATER_MOUNTAIN               New_Guinea           Stratovolcano       Holocene?
 -7.05   145.858  YELIA                         New_Guinea           Stratovolcano       Holocene?
 -7.33   146.708  KORANGA                       New_Guinea           Explosion_crater    Holocene
 -9.20   147.57   MADILOGO                      New_Guinea           Pyroclastic_cone    Holocene
 -8.95   148.15   LAMINGTON                     New_Guinea           Stratovolcano       Historical
 -9.00   148.37   HYDROGRAPHERS_RANGE           New_Guinea           Stratovolcano       Holocene
 -9.308  148.13   MUSA_RIVER                    New_Guinea           Hydrothermal_field  Hot_Springs
 -9.08   148.33   MANAGLASE_PLATEAU             New_Guinea           Volcanic_field      Anthropology
 -9.20   149.07   VICTORY                       New_Guinea           Stratovolcano       Historical
 -9.48   149.13   SESSAGARA                     New_Guinea           Unknown             Holocene
 -9.57   149.075  WAIOWA                        New_Guinea           Pyroclastic_cone    Historical
 -9.48   150.35   GOODENOUGH                    D'Entrecasteaux_Is   Volcanic_field      Holocene
